sep=;
Datum/Zeit;Energie;Einheit;Energie in Euro;Einheit;CO2-Ausstoss;Einheit;;Ansicht:;2 Jahre;;Datum;29.05.2025 17-57 Uhr
Juni 2023;0,000;kWh;0,00;Euro;0,000;kg CO2
Juli 2023;0,000;kWh;0,00;Euro;0,000;kg CO2
August 2023;0,000;kWh;0,00;Euro;0,000;kg CO2
September 2023;27,344;kWh;11,48;Euro;15,039;kg CO2
Oktober 2023;24,608;kWh;10,33;Euro;13,534;kg CO2
November 2023;28,390;kWh;11,92;Euro;15,615;kg CO2
Dezember 2023;27,322;kWh;11,47;Euro;15,027;kg CO2
Januar 2024;24,873;kWh;10,44;Euro;13,680;kg CO2
Februar 2024;30,177;kWh;12,67;Euro;16,597;kg CO2
März 2024;21,704;kWh;9,11;Euro;11,937;kg CO2
April 2024;34,445;kWh;14,46;Euro;18,945;kg CO2
Mai 2024;43,775;kWh;18,38;Euro;24,076;kg CO2
Juni 2024;35,306;kWh;14,82;Euro;19,418;kg CO2
Juli 2024;14,785;kWh;6,21;Euro;8,132;kg CO2
August 2024;16,542;kWh;6,95;Euro;9,098;kg CO2
September 2024;30,721;kWh;12,90;Euro;16,897;kg CO2
Oktober 2024;21,250;kWh;8,92;Euro;11,688;kg CO2
November 2024;26,818;kWh;11,26;Euro;14,750;kg CO2
Dezember 2024;15,164;kWh;6,37;Euro;8,340;kg CO2
Januar 2025;19,978;kWh;8,39;Euro;10,988;kg CO2
Februar 2025;20,755;kWh;8,72;Euro;11,415;kg CO2
März 2025;35,886;kWh;15,07;Euro;19,737;kg CO2
April 2025;38,066;kWh;15,98;Euro;20,936;kg CO2
Mai 2025;30,497;kWh;12,81;Euro;16,773;kg CO2
