sep=;
Datum/Zeit;Energie;Einheit;Energie in Euro;Einheit;CO2-Ausstoss;Einheit;;Ansicht:;1 Monat;;Datum;29.05.2025 08-05 Uhr
29.4.;2,176;kWh;0,91;Euro;1,197;kg CO2
30.4.;1,461;kWh;0,61;Euro;0,804;kg CO2
1.5.;1,693;kWh;0,71;Euro;0,931;kg CO2
2.5.;1,275;kWh;0,54;Euro;0,701;kg CO2
3.5.;0,412;kWh;0,17;Euro;0,227;kg CO2
4.5.;1,246;kWh;0,52;Euro;0,685;kg CO2
5.5.;0,961;kWh;0,40;Euro;0,529;kg CO2
6.5.;1,423;kWh;0,60;Euro;0,783;kg CO2
7.5.;2,031;kWh;0,85;Euro;1,117;kg CO2
8.5.;1,969;kWh;0,83;Euro;1,083;kg CO2
9.5.;0,265;kWh;0,11;Euro;0,146;kg CO2
10.5.;0,136;kWh;0,06;Euro;0,075;kg CO2
11.5.;0,137;kWh;0,06;Euro;0,075;kg CO2
12.5.;1,527;kWh;0,64;Euro;0,840;kg CO2
13.5.;1,888;kWh;0,79;Euro;1,038;kg CO2
14.5.;1,891;kWh;0,79;Euro;1,040;kg CO2
15.5.;1,915;kWh;0,80;Euro;1,053;kg CO2
16.5.;1,616;kWh;0,68;Euro;0,889;kg CO2
17.5.;0,232;kWh;0,10;Euro;0,128;kg CO2
18.5.;0,545;kWh;0,23;Euro;0,300;kg CO2
19.5.;0,152;kWh;0,06;Euro;0,084;kg CO2
20.5.;0,138;kWh;0,06;Euro;0,076;kg CO2
21.5.;0,137;kWh;0,06;Euro;0,075;kg CO2
22.5.;0,138;kWh;0,06;Euro;0,076;kg CO2
23.5.;0,143;kWh;0,06;Euro;0,079;kg CO2
24.5.;1,306;kWh;0,55;Euro;0,718;kg CO2
25.5.;0,887;kWh;0,37;Euro;0,488;kg CO2
26.5.;1,763;kWh;0,74;Euro;0,970;kg CO2
27.5.;1,750;kWh;0,73;Euro;0,963;kg CO2
28.5.;1,909;kWh;0,80;Euro;1,050;kg CO2
29.5.;0,207;kWh;0,09;Euro;0,114;kg CO2
