sep=;
Datum/Zeit;Energie;Einheit;Energie in Euro;Einheit;CO2-Ausstoss;Einheit;;Ansicht:;1 Monat;;Datum;27.07.2024 12-11 Uhr
27.6.;1,236;kWh;0,52;Euro;0,680;kg CO2
28.6.;1,342;kWh;0,56;Euro;0,738;kg CO2
29.6.;0,767;kWh;0,32;Euro;0,422;kg CO2
30.6.;0,232;kWh;0,10;Euro;0,128;kg CO2
1.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
2.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
3.7.;0,232;kWh;0,10;Euro;0,128;kg CO2
4.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
5.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
6.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
7.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
8.7.;0,232;kWh;0,10;Euro;0,128;kg CO2
9.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
10.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
11.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
12.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
13.7.;0,257;kWh;0,11;Euro;0,141;kg CO2
14.7.;1,258;kWh;0,53;Euro;0,692;kg CO2
15.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
16.7.;0,232;kWh;0,10;Euro;0,128;kg CO2
17.7.;0,231;kWh;0,10;Euro;0,127;kg CO2
18.7.;0,232;kWh;0,10;Euro;0,128;kg CO2
19.7.;0,232;kWh;0,10;Euro;0,128;kg CO2
20.7.;1,081;kWh;0,45;Euro;0,595;kg CO2
21.7.;0,823;kWh;0,35;Euro;0,453;kg CO2
22.7.;0,230;kWh;0,10;Euro;0,127;kg CO2
23.7.;0,230;kWh;0,10;Euro;0,127;kg CO2
24.7.;0,229;kWh;0,10;Euro;0,126;kg CO2
25.7.;0,228;kWh;0,10;Euro;0,125;kg CO2
26.7.;0,233;kWh;0,10;Euro;0,128;kg CO2
27.7.;0,724;kWh;0,30;Euro;0,398;kg CO2
