sep=;
Datum/Zeit;Energie;Einheit;Energie in Euro;Einheit;CO2-Ausstoss;Einheit;;Ansicht:;1 Monat;;Datum;30.04.2025 10-15 Uhr
31.3.;0,705;kWh;0,30;Euro;0,388;kg CO2
1.4.;1,228;kWh;0,52;Euro;0,675;kg CO2
2.4.;0,987;kWh;0,41;Euro;0,543;kg CO2
3.4.;1,057;kWh;0,44;Euro;0,581;kg CO2
4.4.;1,285;kWh;0,54;Euro;0,707;kg CO2
5.4.;1,249;kWh;0,52;Euro;0,687;kg CO2
6.4.;1,217;kWh;0,51;Euro;0,669;kg CO2
7.4.;1,282;kWh;0,54;Euro;0,705;kg CO2
8.4.;1,269;kWh;0,53;Euro;0,698;kg CO2
9.4.;1,507;kWh;0,63;Euro;0,829;kg CO2
10.4.;1,707;kWh;0,72;Euro;0,939;kg CO2
11.4.;0,929;kWh;0,39;Euro;0,511;kg CO2
12.4.;1,678;kWh;0,70;Euro;0,923;kg CO2
13.4.;2,988;kWh;1,25;Euro;1,643;kg CO2
14.4.;2,860;kWh;1,20;Euro;1,573;kg CO2
15.4.;1,101;kWh;0,46;Euro;0,606;kg CO2
16.4.;1,385;kWh;0,58;Euro;0,762;kg CO2
17.4.;0,800;kWh;0,34;Euro;0,440;kg CO2
18.4.;1,228;kWh;0,52;Euro;0,675;kg CO2
19.4.;1,001;kWh;0,42;Euro;0,551;kg CO2
20.4.;1,182;kWh;0,50;Euro;0,650;kg CO2
21.4.;1,336;kWh;0,56;Euro;0,735;kg CO2
22.4.;0,142;kWh;0,06;Euro;0,078;kg CO2
23.4.;0,141;kWh;0,06;Euro;0,078;kg CO2
24.4.;0,141;kWh;0,06;Euro;0,078;kg CO2
25.4.;0,157;kWh;0,07;Euro;0,086;kg CO2
26.4.;1,026;kWh;0,43;Euro;0,564;kg CO2
27.4.;1,343;kWh;0,56;Euro;0,739;kg CO2
28.4.;2,203;kWh;0,93;Euro;1,212;kg CO2
29.4.;2,176;kWh;0,91;Euro;1,197;kg CO2
30.4.;0,220;kWh;0,09;Euro;0,121;kg CO2
