sep=;
Datum/Uhrzeit;Verbrauchswert;Einheit;Verbrauch in Euro;Einheit;CO2-Ausstoss;Einheit;;Ansicht:;Datum;;1 Monat;30.04.2025 23:53 Uhr
31.03;0,705;kWh;0,30;Euro;0,388;kg CO2
01.04;1,228;kWh;0,52;Euro;0,675;kg CO2
02.04;0,987;kWh;0,41;Euro;0,543;kg CO2
03.04;1,057;kWh;0,44;Euro;0,581;kg CO2
04.04;1,285;kWh;0,54;Euro;0,707;kg CO2
05.04;1,249;kWh;0,52;Euro;0,687;kg CO2
06.04;1,217;kWh;0,51;Euro;0,669;kg CO2
07.04;1,282;kWh;0,54;Euro;0,705;kg CO2
08.04;1,269;kWh;0,53;Euro;0,698;kg CO2
09.04;1,507;kWh;0,63;Euro;0,829;kg CO2
10.04;1,707;kWh;0,72;Euro;0,939;kg CO2
11.04;0,929;kWh;0,39;Euro;0,511;kg CO2
12.04;1,678;kWh;0,70;Euro;0,923;kg CO2
13.04;2,988;kWh;1,25;Euro;1,643;kg CO2
14.04;2,860;kWh;1,20;Euro;1,573;kg CO2
15.04;1,101;kWh;0,46;Euro;0,606;kg CO2
16.04;1,385;kWh;0,58;Euro;0,762;kg CO2
17.04;0,800;kWh;0,34;Euro;0,440;kg CO2
18.04;1,228;kWh;0,52;Euro;0,675;kg CO2
19.04;1,001;kWh;0,42;Euro;0,551;kg CO2
20.04;1,182;kWh;0,50;Euro;0,650;kg CO2
21.04;1,336;kWh;0,56;Euro;0,735;kg CO2
22.04;0,142;kWh;0,06;Euro;0,078;kg CO2
23.04;0,141;kWh;0,06;Euro;0,078;kg CO2
24.04;0,141;kWh;0,06;Euro;0,078;kg CO2
25.04;0,157;kWh;0,07;Euro;0,086;kg CO2
26.04;1,026;kWh;0,43;Euro;0,564;kg CO2
27.04;1,343;kWh;0,56;Euro;0,739;kg CO2
28.04;2,203;kWh;0,93;Euro;1,212;kg CO2
29.04;2,176;kWh;0,91;Euro;1,197;kg CO2
30.04;1,458;kWh;0,61;Euro;0,802;kg CO2
